scenario,rep_num,ts,occ
base_150c1b18c,base_150c1b18c,0.0,0.0
base_150c1b18c,base_150c1b18c,0.1481964499134673,1.0
base_150c1b18c,base_150c1b18c,2.2405478096134246,2.0
base_150c1b18c,base_150c1b18c,2.30967173804114,3.0
base_150c1b18c,base_150c1b18c,2.4826562746156906,4.0
base_150c1b18c,base_150c1b18c,3.2624655078226765,5.0
base_150c1b18c,base_150c1b18c,3.526647243820681,6.0
base_150c1b18c,base_150c1b18c,4.215187924409703,7.0
base_150c1b18c,base_150c1b18c,4.363995229020409,8.0
base_150c1b18c,base_150c1b18c,4.865970690381668,9.0
base_150c1b18c,base_150c1b18c,5.23920039269144,10.0
base_150c1b18c,base_150c1b18c,5.2518359095546865,11.0
base_150c1b18c,base_150c1b18c,5.742112141172242,12.0
base_150c1b18c,base_150c1b18c,6.6170618505133865,13.0
base_150c1b18c,base_150c1b18c,6.986902617886702,14.0
base_150c1b18c,base_150c1b18c,7.504408713204233,15.0
base_150c1b18c,base_150c1b18c,8.644758977503198,16.0
base_150c1b18c,base_150c1b18c,8.805160233908047,17.0
base_150c1b18c,base_150c1b18c,9.4810843064875,18.0
base_150c1b18c,base_150c1b18c,10.080958671040015,19.0
base_150c1b18c,base_150c1b18c,11.58812093127898,20.0
base_150c1b18c,base_150c1b18c,12.121056868060261,21.0
base_150c1b18c,base_150c1b18c,12.534701575878437,22.0
base_150c1b18c,base_150c1b18c,14.125098847150966,23.0
base_150c1b18c,base_150c1b18c,16.064637933269566,24.0
base_150c1b18c,base_150c1b18c,16.166246826955053,25.0
base_150c1b18c,base_150c1b18c,16.258794199667523,26.0
base_150c1b18c,base_150c1b18c,16.890500001171507,27.0
base_150c1b18c,base_150c1b18c,16.925227384228148,28.0
base_150c1b18c,base_150c1b18c,17.629841325280086,29.0
base_150c1b18c,base_150c1b18c,18.222777549719282,30.0
base_150c1b18c,base_150c1b18c,18.686324985063532,31.0
base_150c1b18c,base_150c1b18c,18.693457745680664,32.0
base_150c1b18c,base_150c1b18c,19.600541456273728,33.0
base_150c1b18c,base_150c1b18c,19.927639898580384,34.0
base_150c1b18c,base_150c1b18c,20.11995304023937,35.0
base_150c1b18c,base_150c1b18c,20.450491300113736,36.0
base_150c1b18c,base_150c1b18c,20.612863741565675,37.0
base_150c1b18c,base_150c1b18c,20.819799913979253,38.0
base_150c1b18c,base_150c1b18c,20.98651439038878,39.0
base_150c1b18c,base_150c1b18c,21.453950567190855,40.0
base_150c1b18c,base_150c1b18c,22.46224974634863,41.0
base_150c1b18c,base_150c1b18c,22.66748409211386,42.0
base_150c1b18c,base_150c1b18c,22.87304319246329,43.0
base_150c1b18c,base_150c1b18c,22.968518489680157,44.0
base_150c1b18c,base_150c1b18c,23.293678502619425,45.0
base_150c1b18c,base_150c1b18c,23.713410298699202,46.0
base_150c1b18c,base_150c1b18c,23.99743576344738,47.0
base_150c1b18c,base_150c1b18c,24.37977017524906,48.0
base_150c1b18c,base_150c1b18c,24.391592289907923,47.0
base_150c1b18c,base_150c1b18c,24.74973733178819,48.0
base_150c1b18c,base_150c1b18c,25.213181441029555,49.0
base_150c1b18c,base_150c1b18c,26.842406675683907,50.0
base_150c1b18c,base_150c1b18c,27.286984773123375,51.0
base_150c1b18c,base_150c1b18c,27.404007921127594,52.0
base_150c1b18c,base_150c1b18c,27.531586670108855,53.0
base_150c1b18c,base_150c1b18c,27.922468377073265,54.0
base_150c1b18c,base_150c1b18c,28.23171032935941,53.0
base_150c1b18c,base_150c1b18c,28.702861167858092,54.0
base_150c1b18c,base_150c1b18c,28.97311066138732,55.0
base_150c1b18c,base_150c1b18c,29.57268004764672,56.0
base_150c1b18c,base_150c1b18c,29.794374041823666,57.0
base_150c1b18c,base_150c1b18c,29.834145180273197,58.0
base_150c1b18c,base_150c1b18c,31.295599278775924,59.0
base_150c1b18c,base_150c1b18c,31.49494665782516,60.0
base_150c1b18c,base_150c1b18c,31.516102569841568,61.0
base_150c1b18c,base_150c1b18c,31.57172150269335,62.0
base_150c1b18c,base_150c1b18c,32.4431450717847,63.0
base_150c1b18c,base_150c1b18c,32.50230164887724,64.0
base_150c1b18c,base_150c1b18c,32.77978309254453,65.0
base_150c1b18c,base_150c1b18c,32.898328859607936,66.0
base_150c1b18c,base_150c1b18c,33.23982373965139,67.0
base_150c1b18c,base_150c1b18c,33.30975615028067,68.0
base_150c1b18c,base_150c1b18c,33.51853509072723,69.0
base_150c1b18c,base_150c1b18c,33.550363045764605,70.0
base_150c1b18c,base_150c1b18c,33.97630135288711,71.0
base_150c1b18c,base_150c1b18c,34.58816363480741,72.0
base_150c1b18c,base_150c1b18c,35.99201181482324,73.0
base_150c1b18c,base_150c1b18c,36.20620088191697,74.0
base_150c1b18c,base_150c1b18c,36.79482365264013,75.0
base_150c1b18c,base_150c1b18c,36.812336029016876,76.0
base_150c1b18c,base_150c1b18c,36.828762330029754,77.0
base_150c1b18c,base_150c1b18c,37.46134568133456,78.0
base_150c1b18c,base_150c1b18c,38.02939361481502,79.0
base_150c1b18c,base_150c1b18c,38.24583223578522,78.0
base_150c1b18c,base_150c1b18c,38.840614674404115,77.0
base_150c1b18c,base_150c1b18c,39.408705241041744,78.0
base_150c1b18c,base_150c1b18c,39.503566080152176,79.0
base_150c1b18c,base_150c1b18c,39.92313563172013,80.0
base_150c1b18c,base_150c1b18c,40.17775001530026,81.0
base_150c1b18c,base_150c1b18c,40.21957517285097,82.0
base_150c1b18c,base_150c1b18c,40.54302690516684,81.0
base_150c1b18c,base_150c1b18c,40.78290173081627,82.0
base_150c1b18c,base_150c1b18c,41.075207015269186,83.0
base_150c1b18c,base_150c1b18c,41.54682135633025,84.0
base_150c1b18c,base_150c1b18c,41.66507492721759,85.0
base_150c1b18c,base_150c1b18c,41.67597817513026,86.0
base_150c1b18c,base_150c1b18c,41.99136261763058,87.0
base_150c1b18c,base_150c1b18c,42.146116583232526,88.0
base_150c1b18c,base_150c1b18c,42.31126830552099,89.0
