scenario,rep_num,customer_id,num_produce,num_butcher,num_pantry,num_items,arrival_ts,got_cart_ts,start_produce_ts,finish_produce_ts,got_butcher_ts,release_butcher_ts,start_pantry_ts,finish_pantry_ts,got_cashier_ts,cashier_speed,exit_system_ts,wait_for_cart,produce_time,wait_for_butcher,butcher_time,pantry_time,wait_for_cashier,checkout_time,time_in_system,time_in_system_peritem
base,6,2,6.0,0.0,11.0,16.0,0.3779985694393363,0.3779985694393363,1.2169741659201905,8.671411292960538,,,8.671411292960538,23.514192211402893,23.514192211402893,0.12149208220534602,25.45806552668843,0.0,7.454437127040348,,,14.842780918442354,14.842780918442354,1.9438733152855363,25.080066957249095,1.5675041848280684
base,6,36,9.0,0.0,8.0,17.0,15.064110145098564,15.064110145098564,16.750394489297378,19.36669262487451,,,19.36669262487451,26.56968323091155,26.56968323091155,0.07771077691735802,27.73534488467192,0.0,2.616298135577132,,,7.202990606037041,7.202990606037041,1.1656616537603703,12.671234739573357,0.745366749386668
base,6,1,10.0,3.0,9.0,16.0,0.2787616193337575,0.2787616193337575,1.7873247356268138,12.990481835779162,,,12.990481835779162,25.937637954256083,25.937637954256083,0.1435136236380687,28.37736955610325,0.0,11.203157100152348,,,12.94715611847692,12.94715611847692,2.4397316018471678,28.098607936769493,1.7561629960480933
base,6,9,7.0,0.0,12.0,22.0,1.7256320681623931,1.7256320681623931,2.435866371665373,8.737728785493028,,,8.737728785493028,29.839924874588718,29.839924874588718,0.09958703984078154,31.732078631563567,0.0,6.301862413827655,,,21.102196089095692,21.102196089095692,1.8921537569748494,30.006446563401173,1.3639293892455078
base,6,7,8.0,2.0,12.0,12.0,1.5461716211440504,1.5461716211440504,2.262913701666882,14.230562204804135,16.87433410239503,16.87433410239503,16.87433410239503,33.92026675264595,33.92026675264595,0.1137283612004851,36.30856233785614,0.0,11.967648503137253,2.6437718975908933,0.0,17.045932650250922,19.689704547841814,2.3882955852101873,34.76239071671209,2.8968658930593407
base,6,4,9.0,2.0,8.0,21.0,0.7403245481576864,0.7403245481576864,1.092862154925685,12.983535173510326,12.983535173510326,16.87433410239503,16.87433410239503,36.549337709489535,36.549337709489535,0.06464221517212433,37.97146644327627,0.0,11.890673018584641,0.0,3.8907989288847027,19.675003607094506,23.56580253597921,1.4221287337867352,37.23114189511858,1.7729115188151705
base,6,27,7.0,0.0,11.0,20.0,9.102013805717988,9.102013805717988,10.720049546149303,19.756708102831418,,,19.756708102831418,37.14832128919352,37.14832128919352,0.04704265381634206,38.27734498078573,0.0,9.036658556682115,,,17.3916131863621,17.3916131863621,1.1290236915922094,29.17533117506774,1.458766558753387
base,6,13,10.0,0.0,10.0,17.0,2.7946206324166183,2.7946206324166183,4.331996809193267,14.654863522237903,,,14.654863522237903,34.75883066916782,34.75883066916782,0.22456454365051925,38.35186336757613,0.0,10.322866713044636,,,20.103967146929918,20.103967146929918,3.593032698408308,35.55724273515951,2.0916025138329126
base,6,12,9.0,0.0,7.0,16.0,2.6013737298968946,2.6013737298968946,4.271255579861962,18.038513434988413,,,18.038513434988413,37.24019898662095,37.24019898662095,0.07321781056202195,38.48490176617533,0.0,13.767257855126452,,,19.20168555163254,19.20168555163254,1.2447027795543733,35.883528036278435,2.242720502267402
base,6,11,6.0,0.0,10.0,18.0,2.514754094295531,2.514754094295531,3.8261468884507672,15.044779288997372,,,15.044779288997372,36.08780341303905,36.08780341303905,0.17584609846898364,39.25303318548075,0.0,11.218632400546605,,,21.043024124041676,21.043024124041676,3.1652297724417053,36.73827909118522,2.0410155050658454
base,6,16,7.0,2.0,10.0,18.0,5.085109236234046,5.085109236234046,5.313896696929715,14.685078253308916,,,14.685078253308916,30.835269190166613,30.835269190166613,0.4761475864175356,39.405925745682254,0.0,9.371181556379202,,,16.150190936857697,16.150190936857697,8.57065655551564,34.32081650944821,1.9067120283026782
base,6,30,10.0,0.0,8.0,19.0,9.759350685415175,9.759350685415175,11.541674346921397,25.42789234591075,,,25.42789234591075,38.19008853956684,38.19008853956684,0.06703967571554566,39.597921729593295,0.0,13.886217998989352,,,12.762196193656088,12.762196193656088,1.4078331900264587,29.83857104417812,1.570451107588322
base,6,21,8.0,0.0,10.0,16.0,7.1155858932388,7.1155858932388,7.844450766215423,19.36179620066058,,,19.36179620066058,30.73030547100612,30.73030547100612,0.5131256105622602,39.9665664611268,0.0,11.517345434445158,,,11.368509270345537,11.368509270345537,9.236260990120684,32.850980567888,2.053186285493
base,6,6,7.0,0.0,10.0,23.0,0.9767334474468737,0.9767334474468737,2.8550577847266525,14.96649307748446,16.87433410239503,16.87433410239503,16.87433410239503,34.99218279311545,34.99218279311545,0.40724624547591426,41.10087647525416,0.0,12.111435292757808,1.907841024910569,0.0,18.117848690720418,20.02568971563099,6.108693682138714,40.124143027807285,1.7445279577307515
base,6,18,10.0,0.0,5.0,15.0,6.126918464189215,6.126918464189215,7.265680949510748,18.536873095772997,18.536873095772997,18.536873095772997,18.536873095772997,38.66726173309965,38.66726173309965,0.16323956486545904,41.442334335812454,0.0,11.271192146262248,0.0,0.0,20.130388637326654,20.130388637326654,2.775072602712804,35.31541587162324,2.354361058108216
base,6,35,10.0,0.0,13.0,16.0,13.802216557209583,13.802216557209583,14.493648513660112,24.994899666058693,,,24.994899666058693,39.30728453290214,39.30728453290214,0.12237864940273013,41.51010022215128,0.0,10.50125115239858,,,14.312384866843445,14.312384866843445,2.2028156892491424,27.707883664941697,1.731742729058856
base,6,48,5.0,0.0,11.0,15.0,20.32812255926766,20.32812255926766,21.61791272173341,26.556223290539172,,,26.556223290539172,40.601101811366405,40.601101811366405,0.04517192124433037,41.640055999986004,0.0,4.938310568805761,,,14.044878520827233,14.044878520827233,1.0389541886195985,21.311933440718345,1.4207955627145563
